Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,"Population, total",SP.POP.TOTL,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23815995,24190907,24601860,24982688,25365745,25693267,25739256
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.745820001,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.282933137,0.178832418
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,..,..,..
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,7.06836E+11,7.77803E+11,9.00082E+11,9.55528E+11,1.02873E+12,1.12557E+12,1.36987E+12,1.44056E+12,1.3084E+12,1.26662E+12,1.32591E+12,1.39285E+12,1.37911E+12,1.46107E+12
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,34150,37340,42360,44050,46690,50380,60260,60490,54090,51480,53070,54910,53680,56760
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6.83726E+11,7.2832E+11,7.64292E+11,8.43144E+11,8.33031E+11,9.00719E+11,9.44215E+11,1.07908E+12,1.11626E+12,1.15838E+12,1.21414E+12,1.27063E+12,1.34188E+12,1.423E+12
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,33030,34970,35970,38870,37810,40320,41530,45310,46140,47090,48600,50090,52230,55290
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,7.2,..,7.3,..,..,..,7.4,..,7.3,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.4,82.44878049,82.5,82.74878049,82.9,83.2,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.908,1.959,1.984,1.971,1.928,1.926,1.92,1.814,1.752,1.741,1.74,1.657,1.581,..
